Category,Symptom/Error,Root Cause,Fix 1,Fix 2,Fix 3,Diagnostic Command,Validation Step,Official Link
Migration & Advanced Patterns,"SSR build errors","Server-side rendering configuration issues","Configure separate client and server builds","Set build.ssr option for server entry","Add conditional logic for server vs client code","npm run build:server","SSR build produces server bundle","https://vitejs.dev/guide/ssr.html"
Dependency Pre-bundling,"Pre-bundling dependencies taking too long","Large number of dependencies or scanning issues","Add commonly used deps to optimizeDeps.include","Set optimizeDeps.force to clear cache","Use optimizeDeps.exclude for problematic packages","rm -rf node_modules/.vite && npm run dev","Dependencies pre-bundle quickly","https://vitejs.dev/guide/dep-pre-bundling.html"
Dependency Pre-bundling,"Module externalized for browser compatibility","ESM/CJS compatibility issues with dependencies","Add dependency to optimizeDeps.include","Update dependency to ESM version","Use dynamic import for problematic modules","Check browser console for module errors","Module loads without compatibility warnings","https://vitejs.dev/guide/troubleshooting.html#module-externalized-for-browser-compatibility"
Dependency Pre-bundling,"Dependency optimization conflicts","Multiple versions or conflicting optimization settings","Clear node_modules/.vite cache","Check for duplicate dependencies in package-lock.json","Use resolutions field to force single version","npm ls --depth=0","Single version of dependencies in use","https://vitejs.dev/guide/dep-pre-bundling.html#dependency-compatibility"
Plugin Development,"Custom plugin not executing hooks","Plugin not properly registered or hooks misconfigured","Check plugin is in plugins array in config","Verify hook names match Vite/Rollup API","Add logging to plugin hooks for debugging","Check plugin execution order in debug output","Plugin hooks execute at expected times","https://vitejs.dev/guide/api-plugin.html"
Plugin Development,"Plugin causing build failures","Plugin incompatible with Vite version or other plugins","Update plugin to compatible version","Check plugin documentation for compatibility","Test with minimal plugin configuration","Build without plugin to isolate issue","Build succeeds with plugin enabled","https://rollupjs.org/plugin-development/"
Plugin Development,"Plugin state not persisting between hooks","Plugin not handling state management correctly","Use plugin closure to maintain state","Implement shared state between hook calls","Use external state management if needed","Add logging to verify state persistence","State available across plugin lifecycle","https://vitejs.dev/guide/api-plugin.html#plugin-ordering"
Proxy & CORS,"API requests blocked by CORS","Development server not configured for cross-origin requests","Configure server.cors in vite config","Set up proxy rules for API endpoints","Add CORS headers to API server","Check network tab for CORS errors","API requests succeed without CORS errors","https://vitejs.dev/config/server-options.html#server-cors"
Proxy & CORS,"Proxy not forwarding requests","Proxy configuration incorrect or conflicting rules","Check proxy path matching and target URL","Verify changeOrigin setting for different hosts","Test proxy rules with curl or Postman","curl through Vite dev server proxy","Requests forwarded to correct target","https://vitejs.dev/config/server-options.html#server-proxy"
Proxy & CORS,"WebSocket connections failing through proxy","Proxy not configured for WebSocket upgrade","Set ws: true in proxy configuration","Configure rewriteWsOrigin if needed","Check WebSocket URL matches proxy pattern","Check browser WebSocket connection status","WebSocket connects through proxy","https://vitejs.dev/config/server-options.html#server-proxy"
Performance Optimization,"Slow build times","Inefficient build configuration or large bundles","Enable parallel builds with multiple workers","Configure more granular code splitting","Use build.minify: 'esbuild' for faster minification","time npm run build","Build time reduced significantly","https://vitejs.dev/guide/build.html#build-optimizations"
Performance Optimization,"High memory usage during build","Large bundle size or memory leak in plugins","Increase Node.js memory limit","Configure more aggressive chunking strategy","Profile memory usage with --inspect flag","node --inspect npm run build","Memory usage within acceptable limits","https://vitejs.dev/guide/troubleshooting.html#performance-bottlenecks"
Performance Optimization,"Bundle analyzer shows duplicate code","Code not being deduplicated properly","Configure rollupOptions.external for shared deps","Use manual chunking to group related modules","Enable tree shaking with proper package.json sideEffects","Check bundle analyzer for duplicate modules","No duplicate modules in final bundle","https://vitejs.dev/guide/build.html#chunking-strategy"
