Category,Symptom/Error,Root Cause,Fix 1,Fix 2,Fix 3,Diagnostic Command,Validation Step,Official Link
Visual Accessibility,Motion causes vestibular disorders,Auto-playing animations cause dizziness,Respect prefers-reduced-motion media query,Provide motion control options,Use subtle animations only,"Check for prefers-reduced-motion support","Animations reduced or removed for sensitive users","https://www.w3.org/WAI/WCAG21/Understanding/animation-from-interactions.html"
Visual Accessibility,Content reflows poorly at 320px,Horizontal scrolling required on narrow screens,Use responsive design principles,Test at 320px viewport width,Implement mobile-first approach,"Resize browser to 320px width","No horizontal scroll at 320px width","https://www.w3.org/WAI/WCAG21/Understanding/reflow.html"
Visual Accessibility,Target size too small for touch,Interactive elements smaller than 44x44 pixels,Increase touch target sizes,Add padding to small interactive elements,Ensure adequate spacing between targets,"Measure touch targets on mobile","All targets at least 44x44 pixels","https://www.w3.org/WAI/WCAG21/Understanding/target-size.html"
Form Accessibility,Error messages not associated,Validation errors not linked to fields,Use aria-describedby for error association,Display errors immediately after fields,Implement live regions for error announcements,"Test form with invalid data","Screen reader announces errors with fields","https://www.w3.org/WAI/WCAG21/Understanding/error-identification.html"
Form Accessibility,Required fields not indicated,No programmatic indication of required fields,Add required attribute to inputs,Use aria-required for custom inputs,Provide visual and programmatic indicators,"Submit form without required fields","Screen reader announces required status","https://www.w3.org/WAI/WCAG21/Understanding/error-identification.html"
Form Accessibility,Form submission not confirmed,No feedback after form submission,Provide success message after submission,Move focus to confirmation message,Use aria-live for status updates,"Submit form and observe feedback","User receives confirmation of submission","https://www.w3.org/WAI/WCAG21/Understanding/error-prevention-legal-financial-data.html"
Form Accessibility,Fieldset missing legend,Related form fields not grouped,Add fieldset and legend for grouped fields,Use role=""group"" with aria-labelledby,Provide clear grouping for related inputs,"Navigate form with screen reader","Related fields announced as group","https://www.w3.org/WAI/WCAG21/Understanding/info-and-relationships.html"
Dynamic Content,AJAX updates not announced,Content changes without screen reader notification,Implement aria-live regions,Use role=""status"" for status updates,Provide alternative notification methods,"Make dynamic content changes","Screen reader announces content updates","https://w3c.github.io/aria-practices/"
Dynamic Content,Loading states inaccessible,No indication of loading progress,Add aria-busy during loading states,Provide text description of loading,Use progressbar role for long operations,"Trigger loading state","Screen reader announces loading status","https://w3c.github.io/aria-practices/"
Dynamic Content,Single-page app navigation issues,Route changes not announced,Update page title on route change,Move focus to main content,Announce route changes via live regions,"Navigate between SPA routes","Screen reader announces page changes","https://www.w3.org/WAI/WCAG21/Understanding/page-titled.html"
Dynamic Content,Infinite scroll accessibility,New content loaded without notification,Announce new content loading,Provide option to disable auto-loading,Implement manual load more button,"Use infinite scroll feature","User aware when new content loads","https://www.w3.org/WAI/WCAG21/Understanding/on-input.html"
Media Accessibility,Video without captions,Video content lacks text alternatives,Add closed captions for audio content,Provide transcript for video content,Use automatic captioning with manual review,"Play video with sound off","All spoken content available as text","https://www.w3.org/WAI/WCAG21/Understanding/captions-prerecorded.html"
Media Accessibility,Audio description missing,Visual information not described,Add audio description track,Provide extended audio description,Use descriptive text alternative,"Listen to video without viewing","Visual content described in audio","https://www.w3.org/WAI/WCAG21/Understanding/audio-description-prerecorded.html"
Media Accessibility,Auto-playing media,Media plays automatically without user control,Remove autoplay attribute,Provide user control for media playback,Add pause/play buttons that are accessible,"Load page and observe media","Media doesn't play automatically","https://www.w3.org/WAI/WCAG21/Understanding/audio-control.html"
Media Accessibility,Transcript not available,No text alternative for audio content,Provide full transcript of audio,Link transcript near media player,Make transcript searchable and navigable,"Review audio content","Complete transcript available","https://www.w3.org/WAI/WCAG21/Understanding/audio-only-prerecorded.html"
Testing Integration,No automated a11y tests,Accessibility not tested in CI/CD,Integrate axe-core in test suite,Add Pa11y to CI pipeline,Use Lighthouse for accessibility audits,"npm run test:a11y","Automated tests catch accessibility issues","https://github.com/dequelabs/axe-core"
Testing Integration,Manual testing not performed,No screen reader or keyboard testing,Establish regular manual testing schedule,Train team on accessibility testing,Use assistive technology for testing,"Test with NVDA or VoiceOver","Manual testing validates automated results","https://webaim.org/articles/nvda/"
Testing Integration,Accessibility testing too late,Issues found after development complete,Shift accessibility testing left,Include accessibility in design reviews,Test prototypes for accessibility,"Review design for accessibility issues","Accessibility considered from design phase","https://www.w3.org/WAI/tips/developing/"
Testing Integration,No accessibility acceptance criteria,Features lack accessibility requirements,Add accessibility to definition of done,Create accessibility user stories,Include accessibility in feature specifications,"Review feature requirements","All features have accessibility criteria","https://www.w3.org/WAI/planning/statements/"
Mobile Accessibility,Touch gestures not accessible,Complex gestures exclude users with disabilities,Provide simple alternative gestures,Support assistive touch features,Add button alternatives to gestures,"Test with assistive touch enabled","All functionality available via simple gestures","https://www.w3.org/WAI/WCAG21/Understanding/pointer-gestures.html"
Mobile Accessibility,Orientation restrictions,Content only works in one orientation,Support both portrait and landscape,Use responsive design for orientation,Remove orientation restrictions,"Rotate device","Content works in both orientations","https://www.w3.org/WAI/WCAG21/Understanding/orientation.html"
Mobile Accessibility,Small touch targets,Interactive elements too small on mobile,Increase touch target size to 44x44px,Add adequate spacing between targets,Use larger buttons and links,"Test on mobile device","All targets large enough for touch","https://www.w3.org/WAI/WCAG21/Understanding/target-size.html"
Mobile Accessibility,Zoom interferes with functionality,Page breaks when zoomed on mobile,Test zoomed functionality,Use responsive design principles,Avoid fixed positioning issues,"Zoom to 200% on mobile","All functionality available when zoomed","https://www.w3.org/WAI/WCAG21/Understanding/reflow.html"
