Category,Symptom/Error,Root Cause,Fix 1,Fix 2,Fix 3,Diagnostic Command,Validation Step,Official Link
Advanced Features & Migration,"Asset modules not working correctly","Incorrect asset module type configuration","Use type: 'asset/resource' for files","Set type: 'asset/inline' for data URLs","Configure asset/source for importing as string","ls -la dist/assets/","browser dev tools network tab asset loading","https://webpack.js.org/guides/asset-modules/"
Bundle Analysis & Optimization,"Can't analyze bundle with webpack-bundle-analyzer","Missing stats file or incorrect format","Generate stats: webpack --profile --json > stats.json","Install webpack-bundle-analyzer globally","Use BundleAnalyzerPlugin in webpack config","cat stats.json | jq .version","webpack-bundle-analyzer stats.json dist/","https://github.com/webpack-contrib/webpack-bundle-analyzer"
Bundle Analysis & Optimization,"Vendor chunks not splitting correctly","Improper cacheGroups configuration","Configure vendor cacheGroup with node_modules test","Set priority for vendor chunks higher than default","Use chunks: 'all' instead of 'async' or 'initial'","grep -r 'node_modules' dist/ | wc -l","webpack-bundle-analyzer stats.json","https://webpack.js.org/plugins/split-chunks-plugin/#splitchunkscachegroups"
Bundle Analysis & Optimization,"Chunk names are cryptic numbers instead of names","chunkIds configuration not set","Set optimization.chunkIds: 'named' for development","Use 'deterministic' for production builds","Configure output.chunkFilename for custom naming","ls dist/*.js | grep -E '[0-9]+\\.js$'","webpack --mode development --display-chunks","https://webpack.js.org/configuration/optimization/#optimizationchunkids"
Error Handling & Debugging,"Build fails silently with no error message","Stats configuration hiding errors","Set stats.errors: true and stats.warnings: true","Use stats: 'verbose' for detailed output","Configure stats.errorDetails: true for stack traces","webpack --mode production --display-error-details","webpack --stats verbose 2>&1 | grep -i error","https://webpack.js.org/configuration/stats/"
Error Handling & Debugging,"Cannot debug webpack build process","No build introspection tools","Use --progress flag for build progress","Install and configure speed-measure-webpack-plugin","Add custom hooks for build event logging","webpack --progress --profile","speed-measure-webpack-plugin wrapper","https://webpack.js.org/api/plugins/compiler-hooks/"
Error Handling & Debugging,"Circular dependency warnings","Modules importing each other cyclically","Refactor code to eliminate circular references","Use dynamic imports to break circular dependencies","Configure stats.warningsFilter to suppress warnings","webpack --json | jq '.warnings[] | select(.message | contains(\"circular\"))'","eslint with import/no-cycle rule","https://webpack.js.org/configuration/stats/#statswarningsfilter"
Performance Optimization,"Build performance degrades with project size","No incremental build optimization","Enable persistent caching with cache.type: 'filesystem'","Use include/exclude to limit loader scope","Configure resolve.modules for faster resolution","time webpack --mode production","ls -la node_modules/.cache/webpack","https://webpack.js.org/configuration/cache/"
Performance Optimization,"CSS not being extracted into separate files","MiniCssExtractPlugin not configured","Install and configure MiniCssExtractPlugin","Replace style-loader with MiniCssExtractPlugin.loader","Configure optimization.splitChunks for CSS","ls dist/*.css","grep -r 'stylesheet' dist/index.html","https://webpack.js.org/plugins/mini-css-extract-plugin/"
Performance Optimization,"Images not optimized during build","No image optimization loader","Install and configure imagemin-webpack-plugin","Use asset/resource with generator for custom paths","Add responsive image generation with responsive-loader","ls -la dist/images/ | awk '{print $5, $9}'","curl -I http://localhost:3000/images/sample.jpg","https://webpack.js.org/guides/asset-management/"
Security & Production,"Source code visible in production bundle","Source maps or unminified code in production","Disable source maps in production: devtool: false","Enable TerserPlugin with proper configuration","Remove console.log statements in production","grep -r 'sourceMappingURL' dist/","curl -s http://production.com/bundle.js | wc -c","https://webpack.js.org/guides/production/"
Security & Production,"Bundle contains development dependencies","Incorrect NODE_ENV or mode configuration","Set NODE_ENV=production during build","Use mode: 'production' in webpack config","Configure optimization.nodeEnv explicitly","grep -r 'development' dist/","webpack --mode production --display-modules | grep dev","https://webpack.js.org/configuration/mode/"
Security & Production,"Unsafe eval usage in production","Development devtool configuration in production","Use 'source-map' instead of 'eval' for production","Configure CSP headers to allow source maps only","Remove eval-based devtools completely","grep -r 'eval(' dist/","Content-Security-Policy header check","https://webpack.js.org/configuration/devtool/#production"
